round,workload_position,library_position,library,workload,scenario,operation,payload,input_kind,source_case,elapsed_seconds,load1_before,load1_after,report_path,log_path
1,17,3,cjfast_json,嵌套对象 | decode | ProfileBundle | string,嵌套对象,decode,ProfileBundle,string,cjfastStringDecodeProfileBundle,3.314025,5.271,5.570,raw/run-01/workload-17-cjfast_json,logs/run-01-workload-17-cjfast_json.log
1,18,1,yjson,嵌套对象 | encode | ProfileBundle | bytes,嵌套对象,encode,ProfileBundle,bytes,yjsonBytesEncodeProfileBundle,3.259273,5.570,5.570,raw/run-01/workload-18-yjson,logs/run-01-workload-18-yjson.log
1,18,2,stdx_json,嵌套对象 | encode | ProfileBundle | bytes,嵌套对象,encode,ProfileBundle,bytes,stdxBytesEncodeProfileBundle,2.154318,5.570,5.284,raw/run-01/workload-18-stdx_json,logs/run-01-workload-18-stdx_json.log
1,18,3,cjfast_json,嵌套对象 | encode | ProfileBundle | bytes,嵌套对象,encode,ProfileBundle,bytes,cjfastBytesEncodeProfileBundle,3.295001,5.284,5.284,raw/run-01/workload-18-cjfast_json,logs/run-01-workload-18-cjfast_json.log
1,19,1,yjson,嵌套对象 | encode | ProfileBundle | string,嵌套对象,encode,ProfileBundle,string,yjsonStringEncodeProfileBundle,3.517892,5.284,5.021,raw/run-01/workload-19-yjson,logs/run-01-workload-19-yjson.log
1,19,2,stdx_json,嵌套对象 | encode | ProfileBundle | string,嵌套对象,encode,ProfileBundle,string,stdxStringEncodeProfileBundle,2.318387,5.021,5.021,raw/run-01/workload-19-stdx_json,logs/run-01-workload-19-stdx_json.log
1,19,3,cjfast_json,嵌套对象 | encode | ProfileBundle | string,嵌套对象,encode,ProfileBundle,string,cjfastStringEncodeProfileBundle,2.996845,5.021,4.698,raw/run-01/workload-19-cjfast_json,logs/run-01-workload-19-cjfast_json.log
1,20,1,yjson,数值边界 | decode | UInt64Envelope | bytes,数值边界,decode,UInt64Envelope,bytes,yjsonBytesDecodeUInt64Envelope,3.541679,4.698,4.482,raw/run-01/workload-20-yjson,logs/run-01-workload-20-yjson.log
1,20,2,stdx_json,数值边界 | decode | UInt64Envelope | bytes,数值边界,decode,UInt64Envelope,bytes,stdxBytesDecodeUInt64Envelope,2.538409,4.482,4.482,raw/run-01/workload-20-stdx_json,logs/run-01-workload-20-stdx_json.log
1,20,3,cjfast_json,数值边界 | decode | UInt64Envelope | bytes,数值边界,decode,UInt64Envelope,bytes,cjfastBytesDecodeUInt64Envelope,3.206210,4.482,4.283,raw/run-01/workload-20-cjfast_json,logs/run-01-workload-20-cjfast_json.log
1,21,1,yjson,数值边界 | decode | UInt64Envelope | string,数值边界,decode,UInt64Envelope,string,yjsonStringDecodeUInt64Envelope,3.744885,4.283,4.260,raw/run-01/workload-21-yjson,logs/run-01-workload-21-yjson.log
1,21,2,stdx_json,数值边界 | decode | UInt64Envelope | string,数值边界,decode,UInt64Envelope,string,stdxStringDecodeUInt64Envelope,2.875197,4.260,4.260,raw/run-01/workload-21-stdx_json,logs/run-01-workload-21-stdx_json.log
1,21,3,cjfast_json,数值边界 | decode | UInt64Envelope | string,数值边界,decode,UInt64Envelope,string,cjfastStringDecodeUInt64Envelope,3.132708,4.260,4.079,raw/run-01/workload-21-cjfast_json,logs/run-01-workload-21-cjfast_json.log
1,22,1,yjson,数值边界 | encode | UInt64Envelope | bytes,数值边界,encode,UInt64Envelope,bytes,yjsonBytesEncodeUInt64Envelope,3.322225,4.079,4.473,raw/run-01/workload-22-yjson,logs/run-01-workload-22-yjson.log
1,22,2,stdx_json,数值边界 | encode | UInt64Envelope | bytes,数值边界,encode,UInt64Envelope,bytes,stdxBytesEncodeUInt64Envelope,2.213850,4.473,4.473,raw/run-01/workload-22-stdx_json,logs/run-01-workload-22-stdx_json.log
1,22,3,cjfast_json,数值边界 | encode | UInt64Envelope | bytes,数值边界,encode,UInt64Envelope,bytes,cjfastBytesEncodeUInt64Envelope,2.935593,4.473,4.836,raw/run-01/workload-22-cjfast_json,logs/run-01-workload-22-cjfast_json.log
1,23,1,yjson,数值边界 | encode | UInt64Envelope | string,数值边界,encode,UInt64Envelope,string,yjsonStringEncodeUInt64Envelope,3.212845,4.836,4.836,raw/run-01/workload-23-yjson,logs/run-01-workload-23-yjson.log
1,23,2,stdx_json,数值边界 | encode | UInt64Envelope | string,数值边界,encode,UInt64Envelope,string,stdxStringEncodeUInt64Envelope,2.073322,4.836,4.608,raw/run-01/workload-23-stdx_json,logs/run-01-workload-23-stdx_json.log
1,23,3,cjfast_json,数值边界 | encode | UInt64Envelope | string,数值边界,encode,UInt64Envelope,string,cjfastStringEncodeUInt64Envelope,3.079326,4.608,4.608,raw/run-01/workload-23-cjfast_json,logs/run-01-workload-23-cjfast_json.log
1,24,1,yjson,时间/大数 | decode | TemporalStats | bytes,时间/大数,decode,TemporalStats,bytes,yjsonBytesDecodeTemporalStats,3.173803,4.608,4.399,raw/run-01/workload-24-yjson,logs/run-01-workload-24-yjson.log
1,24,2,stdx_json,时间/大数 | decode | TemporalStats | bytes,时间/大数,decode,TemporalStats,bytes,stdxBytesDecodeTemporalStats,2.934791,4.399,4.399,raw/run-01/workload-24-stdx_json,logs/run-01-workload-24-stdx_json.log
1,24,3,cjfast_json,时间/大数 | decode | TemporalStats | bytes,时间/大数,decode,TemporalStats,bytes,cjfastBytesDecodeTemporalStats,3.156786,4.399,4.367,raw/run-01/workload-24-cjfast_json,logs/run-01-workload-24-cjfast_json.log
1,25,1,yjson,时间/大数 | decode | TemporalStats | string,时间/大数,decode,TemporalStats,string,yjsonStringDecodeTemporalStats,3.333020,4.367,4.257,raw/run-01/workload-25-yjson,logs/run-01-workload-25-yjson.log
1,25,2,stdx_json,时间/大数 | decode | TemporalStats | string,时间/大数,decode,TemporalStats,string,stdxStringDecodeTemporalStats,2.852838,4.257,4.257,raw/run-01/workload-25-stdx_json,logs/run-01-workload-25-stdx_json.log
1,25,3,cjfast_json,时间/大数 | decode | TemporalStats | string,时间/大数,decode,TemporalStats,string,cjfastStringDecodeTemporalStats,3.217243,4.257,4.397,raw/run-01/workload-25-cjfast_json,logs/run-01-workload-25-cjfast_json.log
1,26,1,yjson,时间/大数 | encode | TemporalStats | bytes,时间/大数,encode,TemporalStats,bytes,yjsonBytesEncodeTemporalStats,3.238465,4.397,4.285,raw/run-01/workload-26-yjson,logs/run-01-workload-26-yjson.log
1,26,2,stdx_json,时间/大数 | encode | TemporalStats | bytes,时间/大数,encode,TemporalStats,bytes,stdxBytesEncodeTemporalStats,2.472676,4.285,4.285,raw/run-01/workload-26-stdx_json,logs/run-01-workload-26-stdx_json.log
1,26,3,cjfast_json,时间/大数 | encode | TemporalStats | bytes,时间/大数,encode,TemporalStats,bytes,cjfastBytesEncodeTemporalStats,2.921919,4.285,4.182,raw/run-01/workload-26-cjfast_json,logs/run-01-workload-26-cjfast_json.log
1,27,1,yjson,时间/大数 | encode | TemporalStats | string,时间/大数,encode,TemporalStats,string,yjsonStringEncodeTemporalStats,3.295019,4.182,4.182,raw/run-01/workload-27-yjson,logs/run-01-workload-27-yjson.log
1,27,2,stdx_json,时间/大数 | encode | TemporalStats | string,时间/大数,encode,TemporalStats,string,stdxStringEncodeTemporalStats,2.342675,4.182,4.087,raw/run-01/workload-27-stdx_json,logs/run-01-workload-27-stdx_json.log
1,27,3,cjfast_json,时间/大数 | encode | TemporalStats | string,时间/大数,encode,TemporalStats,string,cjfastStringEncodeTemporalStats,3.021107,4.087,4.087,raw/run-01/workload-27-cjfast_json,logs/run-01-workload-27-cjfast_json.log
1,28,1,yjson,未知字段 | decode | Person | string,未知字段,decode,Person,string,yjsonStringDecodeUnknownPerson,5.600691,4.087,4.413,raw/run-01/workload-28-yjson,logs/run-01-workload-28-yjson.log
1,28,2,stdx_json,未知字段 | decode | Person | string,未知字段,decode,Person,string,stdxStringDecodeUnknownPerson,2.670077,4.413,4.413,raw/run-01/workload-28-stdx_json,logs/run-01-workload-28-stdx_json.log
1,28,3,cjfast_json,未知字段 | decode | Person | string,未知字段,decode,Person,string,cjfastStringDecodeUnknownPerson,3.260105,4.413,4.300,raw/run-01/workload-28-cjfast_json,logs/run-01-workload-28-cjfast_json.log
1,29,1,yjson,流式 I/O | decode | Person | stream,流式 I/O,decode,Person,stream,yjsonStreamDecodePerson,3.414087,4.300,4.300,raw/run-01/workload-29-yjson,logs/run-01-workload-29-yjson.log
1,29,2,stdx_json,流式 I/O | decode | Person | stream,流式 I/O,decode,Person,stream,stdxStreamDecodePerson,2.698939,4.300,4.436,raw/run-01/workload-29-stdx_json,logs/run-01-workload-29-stdx_json.log
