round,case,mode,median_ns,report_sha256,report_path,log_path
5,readNumericDocument,native,1191529.432753,aac097853986fff897ba62c178df740bb748e52c095a8c5686aa6007765d142d,raw/run-05/readNumericDocument-native,logs/run-05-readNumericDocument-native.log
6,writeEscapedStrings,native,1611749.052632,cd273cc9b7bebebc903f7cdce1c7d003a60fd0eaf650c9078b0ee53e71015a6e,raw/run-06/writeEscapedStrings-native,logs/run-06-writeEscapedStrings-native.log
6,writeEscapedStrings,pure,1524902.054054,17946e007ea484c693cb373573eda1668cb6418cdcab64ef26ba22cb61fea097,raw/run-06/writeEscapedStrings-pure,logs/run-06-writeEscapedStrings-pure.log
6,readNumericDocument,native,1145696.670058,059bc6136bc744028f6e14b1bbea266e3d600e68f9f2e3d3b0da7d01616943d1,raw/run-06/readNumericDocument-native,logs/run-06-readNumericDocument-native.log
6,readNumericDocument,pure,2072749.810526,181faed28ff649587c2e47a493f94c28d3c315142e381995c9bd028eb41b2f15,raw/run-06/readNumericDocument-pure,logs/run-06-readNumericDocument-pure.log
6,readNumericArray,native,2974856.205128,0be97a4725080f1668cd552a5cf6d769f74d890e4a3df4570238a8c7a1d08f6c,raw/run-06/readNumericArray-native,logs/run-06-readNumericArray-native.log
6,readNumericArray,pure,2731358.040816,b8dc0577b2c772e4628bc804b948d8a03419935de2a973307881b6ccb3b81e40,raw/run-06/readNumericArray-pure,logs/run-06-readNumericArray-pure.log
6,writeNumericBytes,native,611843.737226,4dcc446271842f983fa9a548c83c8df46e2ac72d6f1e01bd48f7fb4a6606e42d,raw/run-06/writeNumericBytes-native,logs/run-06-writeNumericBytes-native.log
6,writeNumericBytes,pure,2347893.850746,1dd166b53edc82dd9bdb91c0c0fe75a093d2ddee561589a0996452f4b4c41453,raw/run-06/writeNumericBytes-pure,logs/run-06-writeNumericBytes-pure.log
6,writeNumericArray,native,7152248.470588,30dc1e95d66f5a2b2059c856a6a4bf6c6e62e83fbda308417b1757453d1d0530,raw/run-06/writeNumericArray-native,logs/run-06-writeNumericArray-native.log
6,writeNumericArray,pure,6962663.822222,2241d3d8d48eb4ecc40573493a67ea0d4c42c655bbf60c4ae38b489970f0fd33,raw/run-06/writeNumericArray-pure,logs/run-06-writeNumericArray-pure.log
6,writePlainStrings,native,1348854.857143,99e0055c20abd6dfb78246e298bbc9b1a36d7c8ff19a63762599b099720699ac,raw/run-06/writePlainStrings-native,logs/run-06-writePlainStrings-native.log
6,writePlainStrings,pure,1360300.895522,f6b0bf468214de5054bf0f8303a24abd4ae26846bde8a676a90598595776cf81,raw/run-06/writePlainStrings-pure,logs/run-06-writePlainStrings-pure.log
6,writeEscapedBytes,native,1348219.936508,e29dc0adf4b7761683224020674216647d94f0197a7f428a9b3ffad2118820ce,raw/run-06/writeEscapedBytes-native,logs/run-06-writeEscapedBytes-native.log
6,writeEscapedBytes,pure,1331029.333333,48267a518f9414c0718aaa14c6b4be1d40624a949f5b5d185da10c3de481ee1e,raw/run-06/writeEscapedBytes-pure,logs/run-06-writeEscapedBytes-pure.log
7,writePlainStrings,pure,1288000.000000,768c15c8a0941afcc2f15a37acdc84c1fa98effa1e94cd0750fd897572ad46e6,raw/run-07/writePlainStrings-pure,logs/run-07-writePlainStrings-pure.log
7,writePlainStrings,native,1389897.142857,4d6912e901d2b3dd76ebbab287d4846c28c2981c43853f81d2678ecb731f9c2c,raw/run-07/writePlainStrings-native,logs/run-07-writePlainStrings-native.log
7,writeNumericArray,pure,7237025.600000,e6e4a5eedb92059218a52a513cb39e459fac930a8fb5c820bfd6cd72a984f556,raw/run-07/writeNumericArray-pure,logs/run-07-writeNumericArray-pure.log
7,writeNumericArray,native,7265444.571429,d1ccfbdcd50853b9b35a71ef020f21e9aeb43e6e4439b11a94f3db8a4ecd1208,raw/run-07/writeNumericArray-native,logs/run-07-writeNumericArray-native.log
