round,workload_position,library_position,library,workload,scenario,operation,payload,input_kind,source_case,elapsed_seconds,load1_before,load1_after,report_path,log_path
1,23,2,stdx_json,数值边界 | encode | UInt64Envelope | string,数值边界,encode,UInt64Envelope,string,stdxStringEncodeUInt64Envelope,2.186802,4.895,4.895,raw/run-01/workload-23-stdx_json,logs/run-01-workload-23-stdx_json.log
1,23,3,cjfast_json,数值边界 | encode | UInt64Envelope | string,数值边界,encode,UInt64Envelope,string,cjfastStringEncodeUInt64Envelope,2.744447,4.895,4.743,raw/run-01/workload-23-cjfast_json,logs/run-01-workload-23-cjfast_json.log
1,24,1,yjson,时间/大数 | decode | TemporalStats | bytes,时间/大数,decode,TemporalStats,bytes,yjsonBytesDecodeTemporalStats,3.207629,4.743,5.245,raw/run-01/workload-24-yjson,logs/run-01-workload-24-yjson.log
1,24,2,stdx_json,时间/大数 | decode | TemporalStats | bytes,时间/大数,decode,TemporalStats,bytes,stdxBytesDecodeTemporalStats,3.021229,5.245,5.245,raw/run-01/workload-24-stdx_json,logs/run-01-workload-24-stdx_json.log
1,24,3,cjfast_json,时间/大数 | decode | TemporalStats | bytes,时间/大数,decode,TemporalStats,bytes,cjfastBytesDecodeTemporalStats,3.165933,5.245,5.145,raw/run-01/workload-24-cjfast_json,logs/run-01-workload-24-cjfast_json.log
1,25,1,yjson,时间/大数 | decode | TemporalStats | string,时间/大数,decode,TemporalStats,string,yjsonStringDecodeTemporalStats,3.240418,5.145,5.145,raw/run-01/workload-25-yjson,logs/run-01-workload-25-yjson.log
1,25,2,stdx_json,时间/大数 | decode | TemporalStats | string,时间/大数,decode,TemporalStats,string,stdxStringDecodeTemporalStats,2.798125,5.145,4.973,raw/run-01/workload-25-stdx_json,logs/run-01-workload-25-stdx_json.log
1,25,3,cjfast_json,时间/大数 | decode | TemporalStats | string,时间/大数,decode,TemporalStats,string,cjfastStringDecodeTemporalStats,3.261943,4.973,5.135,raw/run-01/workload-25-cjfast_json,logs/run-01-workload-25-cjfast_json.log
1,26,1,yjson,时间/大数 | encode | TemporalStats | bytes,时间/大数,encode,TemporalStats,bytes,yjsonBytesEncodeTemporalStats,3.088603,5.135,5.135,raw/run-01/workload-26-yjson,logs/run-01-workload-26-yjson.log
1,26,2,stdx_json,时间/大数 | encode | TemporalStats | bytes,时间/大数,encode,TemporalStats,bytes,stdxBytesEncodeTemporalStats,2.386361,5.135,5.124,raw/run-01/workload-26-stdx_json,logs/run-01-workload-26-stdx_json.log
1,26,3,cjfast_json,时间/大数 | encode | TemporalStats | bytes,时间/大数,encode,TemporalStats,bytes,cjfastBytesEncodeTemporalStats,2.861931,5.124,5.124,raw/run-01/workload-26-cjfast_json,logs/run-01-workload-26-cjfast_json.log
1,27,1,yjson,时间/大数 | encode | TemporalStats | string,时间/大数,encode,TemporalStats,string,yjsonStringEncodeTemporalStats,3.372546,5.124,4.954,raw/run-01/workload-27-yjson,logs/run-01-workload-27-yjson.log
1,27,2,stdx_json,时间/大数 | encode | TemporalStats | string,时间/大数,encode,TemporalStats,string,stdxStringEncodeTemporalStats,2.017152,4.954,4.954,raw/run-01/workload-27-stdx_json,logs/run-01-workload-27-stdx_json.log
1,27,3,cjfast_json,时间/大数 | encode | TemporalStats | string,时间/大数,encode,TemporalStats,string,cjfastStringEncodeTemporalStats,2.808681,4.954,4.717,raw/run-01/workload-27-cjfast_json,logs/run-01-workload-27-cjfast_json.log
1,28,1,yjson,未知字段 | decode | Person | string,未知字段,decode,Person,string,yjsonStringDecodeUnknownPerson,5.345270,4.717,4.499,raw/run-01/workload-28-yjson,logs/run-01-workload-28-yjson.log
